ID,Unnamed:_0,food,Caloric_Value,Fat,Saturated_Fats,Monounsaturated_Fats,Polyunsaturated_Fats,Carbohydrates,Sugars,Protein,Dietary_Fiber,Cholesterol,Sodium,Water,Vitamin_A,Vitamin_B1,Vitamin_B11,Vitamin_B12,Vitamin_B2,Vitamin_B3,Vitamin_B5,Vitamin_B6,Vitamin_C,Vitamin_D,Vitamin_E,Vitamin_K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition_Density,Health_Label
187,187,water chestnut raw,120,0.1,0.039,0.055,0.089,29.7,6.0,1.7,3.7,0.0,0.097,91.1,0.0,0.2,0.011,0.0,0.2,1.2,0.6,0.4,5.0,0.0,1.5,0.058,13.6,0.4,0.034,27.3,0.4,78.1,724.2,0.004,0.6,53.84,Healthy
188,188,chestnuts roasted,37,0.3,0.009,0.1,0.1,7.9,1.6,0.5,0.8,0.0,0.043,6.1,0.0,0.08,0.096,0.0,0.011,0.2,0.046,0.075,3.9,0.0,0.08,0.008,4.4,0.075,0.1,5.0,0.2,16.1,88.8,0.037,0.086,17.9,Healthy
189,189,ginkgo nuts raw,52,0.5,0.029,0.2,0.2,10.6,0.0,1.2,0.0,0.0,0.067,15.6,0.0,0.013,0.085,0.0,0.04,1.7,0.078,0.098,4.2,0.0,0.0,0.0,0.6,0.029,0.3,7.6,0.027,35.1,144.3,0.0,0.079,17.4,Healthy
190,190,almonds raw,9,0.7,0.04,0.5,0.2,0.3,0.026,0.3,0.2,0.0,0.043,0.026,0.0,0.079,0.073,0.0,0.066,0.052,0.068,0.029,0.0,0.0,0.4,0.0,4.0,0.007,0.082,4.0,0.007,7.3,10.6,0.013,0.061,5.554,Healthy
191,191,peanuts roasted,180,15.8,2.6,7.8,4.6,4.6,1.3,8.4,2.8,0.0,0.069,0.4,0.0,0.057,0.051,0.0,0.02,4.1,0.4,0.1,0.2,0.0,2.1,0.0,18.3,0.2,0.5,52.8,0.6,119.1,217.8,0.066,1.0,50.6,Healthy
192,192,sunflower seeds toasted,829,76.1,8.0,14.5,50.3,27.6,0.0,23.1,15.4,0.0,0.8,1.3,0.0,0.4,0.3,0.0,0.4,5.6,9.5,1.1,1.9,0.0,0.0,0.0,76.4,2.5,9.1,172.9,2.8,1551.7,657.9,0.066,7.1,229.6,Healthy
193,193,sisymbrium seeds,235,3.4,0.7,1.1,1.5,43.1,0.0,9.0,0.0,0.0,0.047,4.5,0.0,0.1,0.072,0.0,0.3,12.5,0.7,0.6,22.7,0.0,0.0,0.0,1208.4,0.052,0.098,232.4,1.1,4.4,1576.2,0.0,0.2,1286.643,Healthy
194,194,breadnut tree seeds dried,587,2.7,0.7,0.3,1.4,127.0,0.0,13.8,23.8,0.0,0.091,10.4,0.0,0.04,0.2,0.0,0.2,3.4,3.0,1.1,74.6,0.0,0.0,0.0,150.4,3.9,7.4,184.0,0.5,284.8,3217.6,0.011,3.1,399.7,Healthy
195,195,pecans raw,753,78.4,6.7,44.5,23.6,15.1,4.3,10.0,10.5,0.0,0.0,3.8,0.0,0.7,0.019,0.0,0.1,1.3,0.9,0.2,1.2,0.0,1.5,0.033,76.3,1.3,2.8,131.9,4.9,301.9,446.9,0.039,4.9,194.3,Healthy
196,196,chia seeds dried,138,8.7,0.9,0.7,6.7,11.9,0.0,4.7,9.7,0.0,0.047,1.6,0.0,0.2,0.098,0.0,0.08,2.5,0.0,0.0,0.5,0.0,0.1,0.0,178.6,0.3,2.2,94.8,0.8,243.4,115.2,0.035,1.3,216.3,Healthy
197,197,japanese chestnuts roasted,57,0.2,0.08,0.1,0.094,12.8,0.0,0.8,0.0,0.0,0.079,14.1,0.0,0.1,0.022,0.0,0.0,0.2,0.1,0.1,7.9,0.0,0.0,0.0,9.9,0.2,0.6,18.1,0.6,26.3,120.8,0.0,0.4,32.2,Healthy
198,198,sesame seeds toasted,45,3.8,0.5,1.5,1.7,2.1,0.0,1.4,1.1,0.0,0.07,0.3,0.0,0.084,0.075,0.0,0.022,0.4,0.074,0.002,0.0,0.0,0.0,0.0,79.1,0.2,1.2,28.5,0.2,51.0,38.0,0.03,0.6,88.7,Healthy
199,199,cashew nuts roasted,174,14.3,2.5,7.8,2.6,9.0,1.5,5.1,1.0,0.0,0.091,0.7,0.0,0.1,0.08,0.0,0.025,0.5,0.3,0.056,0.071,0.0,0.3,0.041,12.9,0.6,1.8,81.9,0.5,159.3,189.6,0.02,1.6,44.12,Healthy
200,200,lupins raw,668,17.5,2.1,7.1,4.4,72.7,0.0,65.1,34.0,0.0,0.009,18.8,0.0,1.2,0.6,0.0,0.4,3.9,1.4,0.6,8.6,0.0,0.0,0.0,316.8,1.8,7.8,356.4,4.3,792.0,1823.4,0.09,8.6,522.5,Healthy
201,201,mustard seeds ground,10,0.7,0.012,0.5,0.2,0.6,0.1,0.5,0.2,0.0,0.017,0.1,0.0,0.072,0.093,0.0,0.02,0.093,0.018,0.0,0.1,0.0,0.1,0.086,5.3,0.055,0.2,7.4,0.078,16.6,14.8,0.003,0.1,7.6,Healthy
202,202,mixed nuts roasted,178,15.4,2.0,9.4,3.2,7.6,1.4,5.2,2.7,0.0,0.1,0.5,0.0,0.063,0.008,0.0,0.074,1.4,0.4,0.073,0.1,0.0,3.3,0.017,21.0,0.4,1.1,67.5,0.6,130.5,207.9,0.053,1.1,53.1,Healthy
203,203,salat mix alestro,61,5.2,0.9,0.1,0.3,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,Healthy
204,204,chestnuts raw,309,3.3,0.6,1.1,1.3,66.0,0.0,3.5,11.7,0.0,0.02,70.5,0.0,0.3,0.03,0.0,0.2,1.7,0.7,0.5,62.4,0.0,0.0,0.0,39.2,0.6,1.5,46.4,1.4,134.9,751.1,0.0,0.8,187.6,Healthy
